epoch,train,val,test
1,0.691866,0.310651,0.306837
2,0.300473,0.308800,0.305713
3,0.293691,0.288932,0.287129
4,0.287530,0.281904,0.282469
5,0.275798,0.265980,0.267221
6,0.250116,0.236978,0.238651
7,0.234936,0.246464,0.249010
8,0.225294,0.222559,0.224272
9,0.219590,0.208398,0.209370
10,0.212912,0.224103,0.224276
11,0.211309,0.214227,0.213988
12,0.204990,0.206697,0.207197
13,0.203833,0.203970,0.203719
14,0.201048,0.194331,0.194520
15,0.200648,0.210794,0.210793
16,0.197339,0.205956,0.205649
17,0.194888,0.190378,0.190492
18,0.193175,0.191630,0.192047
19,0.192034,0.188713,0.189428
20,0.191042,0.186163,0.185401
21,0.188762,0.184185,0.183768
22,0.188022,0.182636,0.182030
23,0.187134,0.187214,0.186726
24,0.184482,0.188892,0.188915
25,0.183711,0.193615,0.194154
26,0.181714,0.203416,0.203504
27,0.182237,0.178509,0.178170
28,0.179989,0.175566,0.175682
29,0.177805,0.180881,0.181125
30,0.176749,0.172260,0.171886
31,0.176200,0.177579,0.176787
32,0.175802,0.171727,0.172011
33,0.174166,0.180850,0.180039
34,0.173269,0.170552,0.169984
35,0.172792,0.174645,0.173636
36,0.172197,0.168724,0.168115
37,0.171202,0.178335,0.178074
38,0.170166,0.170644,0.169413
39,0.169211,0.170651,0.170289
40,0.170121,0.168663,0.167747
41,0.167649,0.170349,0.169418
42,0.168605,0.170498,0.169487
43,0.166159,0.180845,0.180871
44,0.167336,0.167545,0.166202
45,0.164870,0.166400,0.165634
46,0.166451,0.163349,0.162436
47,0.163814,0.163646,0.162693
48,0.163111,0.187176,0.187211
49,0.163893,0.191838,0.191551
50,0.163309,0.160661,0.159474
51,0.164559,0.173227,0.172923
52,0.163461,0.159884,0.159415
53,0.162690,0.171963,0.171034
54,0.160934,0.158010,0.157462
55,0.160546,0.173043,0.171946
56,0.160046,0.161135,0.159806
57,0.160006,0.154708,0.153727
58,0.158298,0.161585,0.160698
59,0.158092,0.174135,0.173690
60,0.157578,0.152306,0.151207
61,0.157108,0.151924,0.150838
62,0.156564,0.151295,0.150178
63,0.154513,0.154431,0.154212
64,0.154150,0.155290,0.154854
65,0.153728,0.166553,0.165768
66,0.152670,0.164818,0.163354
67,0.151694,0.166179,0.165870
68,0.151690,0.152337,0.151331
69,0.151639,0.145532,0.144827
70,0.149401,0.153587,0.153037
71,0.148711,0.150390,0.149782
72,0.147681,0.163626,0.163397
73,0.147737,0.145763,0.144833
74,0.146143,0.141992,0.141766
75,0.146305,0.141739,0.140286
76,0.145157,0.163979,0.164317
77,0.144979,0.143808,0.142757
78,0.144312,0.141337,0.140981
79,0.143343,0.156700,0.156794
80,0.142430,0.145399,0.144691
81,0.141202,0.142704,0.142432
82,0.140658,0.137477,0.136815
83,0.139719,0.145119,0.144553
84,0.139263,0.142837,0.142786
85,0.138775,0.138958,0.138625
86,0.137016,0.183835,0.182883
87,0.137527,0.133273,0.132815
88,0.136242,0.134664,0.133823
89,0.135865,0.131340,0.130683
90,0.135936,0.139417,0.138646
91,0.134374,0.149186,0.149452
92,0.134281,0.138212,0.137765
93,0.133986,0.129432,0.129227
94,0.133208,0.132827,0.131979
95,0.132159,0.132156,0.131742
96,0.131797,0.131406,0.130700
97,0.131465,0.142310,0.142340
98,0.131138,0.129892,0.129753
99,0.131315,0.143107,0.143068
100,0.129696,0.130298,0.129173
