epoch,train,val,test
1,0.024062,0.017624,0.017495
2,0.017118,0.016368,0.016327
3,0.016203,0.015188,0.015100
4,0.015326,0.014575,0.014571
5,0.014662,0.014998,0.014989
6,0.014148,0.014855,0.014791
7,0.013586,0.012989,0.012967
8,0.013336,0.012861,0.012921
9,0.012828,0.012106,0.012167
10,0.012647,0.012037,0.012080
11,0.012340,0.011917,0.012031
12,0.012246,0.011779,0.011877
13,0.011945,0.012225,0.012277
14,0.011708,0.011618,0.011687
15,0.011608,0.011553,0.011608
16,0.011518,0.011955,0.012068
17,0.011274,0.011324,0.011498
18,0.011210,0.010523,0.010646
19,0.011028,0.010590,0.010718
20,0.010846,0.010679,0.010912
21,0.010866,0.010617,0.010750
22,0.010674,0.011235,0.011389
23,0.010629,0.010736,0.010906
24,0.010574,0.009813,0.009965
25,0.010425,0.010184,0.010230
26,0.010416,0.011000,0.011094
27,0.010274,0.010017,0.010134
28,0.010193,0.010133,0.010184
29,0.010224,0.010123,0.010215
30,0.010146,0.010739,0.010923
31,0.010077,0.009623,0.009762
32,0.010078,0.009649,0.009800
33,0.010062,0.010185,0.010257
34,0.009957,0.009599,0.009739
35,0.009889,0.009505,0.009624
36,0.009879,0.009520,0.009661
37,0.009784,0.009496,0.009594
38,0.009794,0.009254,0.009294
39,0.009779,0.009939,0.009954
40,0.009727,0.009541,0.009578
41,0.009658,0.010321,0.010407
42,0.009698,0.009212,0.009335
43,0.009613,0.009088,0.009195
44,0.009622,0.009087,0.009190
45,0.009593,0.009284,0.009361
46,0.009626,0.010166,0.010269
47,0.009496,0.009259,0.009330
48,0.009496,0.009067,0.009098
49,0.009478,0.009379,0.009437
50,0.009496,0.009190,0.009243
51,0.009577,0.009336,0.009388
52,0.009590,0.009116,0.009225
53,0.009572,0.010674,0.010776
54,0.009503,0.009131,0.009231
55,0.009464,0.009138,0.009234
56,0.009454,0.009601,0.009669
57,0.009411,0.009297,0.009370
58,0.009493,0.009485,0.009623
59,0.009337,0.009380,0.009427
60,0.009358,0.009143,0.009197
61,0.009329,0.008814,0.008906
62,0.009302,0.008890,0.008979
63,0.009263,0.008861,0.008974
64,0.009215,0.008876,0.009017
65,0.009186,0.009227,0.009367
66,0.009185,0.009557,0.009726
67,0.009153,0.009634,0.009663
68,0.009166,0.009313,0.009383
69,0.009106,0.009511,0.009605
70,0.009061,0.008757,0.008844
71,0.009097,0.008758,0.008868
72,0.008998,0.009023,0.009072
73,0.009027,0.008822,0.008916
74,0.009033,0.009097,0.009168
75,0.008985,0.009194,0.009260
76,0.009026,0.008480,0.008588
77,0.008948,0.008464,0.008620
78,0.008911,0.008695,0.008764
79,0.008856,0.008491,0.008599
80,0.008894,0.008494,0.008596
81,0.008853,0.008379,0.008458
82,0.008814,0.008456,0.008543
83,0.008795,0.008509,0.008562
84,0.008800,0.008386,0.008451
85,0.008761,0.008660,0.008748
86,0.008734,0.009509,0.009575
87,0.008767,0.008678,0.008760
88,0.008694,0.008680,0.008823
89,0.008688,0.009092,0.009229
90,0.008705,0.008747,0.008906
91,0.008640,0.008462,0.008551
92,0.008586,0.008311,0.008404
93,0.008608,0.008323,0.008498
94,0.008594,0.008110,0.008199
95,0.008600,0.008587,0.008692
96,0.008603,0.008471,0.008561
97,0.008549,0.008294,0.008413
98,0.008597,0.009078,0.009147
99,0.008572,0.008571,0.008663
100,0.008551,0.009587,0.009752
