epoch,train,val,test
1,0.615568,0.298563,0.299125
2,0.286755,0.269729,0.269793
3,0.270946,0.288959,0.289749
4,0.259993,0.260959,0.260486
5,0.245817,0.237576,0.238443
6,0.234588,0.230017,0.231555
7,0.224737,0.218382,0.219459
8,0.220774,0.240064,0.241218
9,0.218673,0.210337,0.211236
10,0.216538,0.213273,0.214093
11,0.213102,0.213272,0.215014
12,0.209192,0.201726,0.203258
13,0.207132,0.204622,0.205315
14,0.203780,0.221502,0.223391
15,0.202566,0.197107,0.197649
16,0.203440,0.190601,0.191894
17,0.198498,0.196106,0.197365
18,0.197491,0.201282,0.202182
19,0.202860,0.204191,0.206056
20,0.195977,0.192716,0.193843
21,0.194541,0.188447,0.190170
22,0.193562,0.187734,0.188738
23,0.191669,0.188914,0.190754
24,0.189764,0.193924,0.195110
25,0.188534,0.185167,0.186369
26,0.189574,0.182154,0.182941
27,0.186720,0.180531,0.181309
28,0.186368,0.183834,0.184979
29,0.186520,0.179442,0.180119
30,0.185674,0.176923,0.178264
31,0.183013,0.187000,0.188627
32,0.181930,0.179607,0.180551
33,0.183942,0.189930,0.190732
34,0.182452,0.183071,0.184345
35,0.182157,0.178384,0.179985
36,0.177462,0.196563,0.196484
37,0.180000,0.234096,0.235475
38,0.179885,0.177499,0.179379
39,0.178543,0.170831,0.171907
40,0.177678,0.172562,0.174020
41,0.175553,0.175541,0.176082
42,0.176511,0.174664,0.175588
43,0.175223,0.171018,0.171962
44,0.173710,0.168141,0.169014
45,0.172629,0.177462,0.177734
46,0.173404,0.181111,0.182058
47,0.172417,0.172830,0.172539
48,0.172650,0.168415,0.169374
49,0.172275,0.169630,0.169555
50,0.167220,0.173880,0.174749
51,0.172753,0.184926,0.185749
52,0.171670,0.165159,0.165924
53,0.170395,0.169529,0.169977
54,0.168680,0.160409,0.161362
55,0.168975,0.166046,0.166636
56,0.168868,0.168323,0.168680
57,0.167076,0.192197,0.194540
58,0.167173,0.180786,0.182133
59,0.165743,0.164239,0.165466
60,0.166300,0.161557,0.162387
61,0.165078,0.162651,0.163451
62,0.164506,0.164991,0.165120
63,0.163929,0.166594,0.167259
64,0.163780,0.158785,0.159153
65,0.164360,0.159372,0.160872
66,0.162472,0.167910,0.168671
67,0.162187,0.155936,0.157144
68,0.162540,0.157929,0.158964
69,0.161265,0.155272,0.156885
70,0.161632,0.164998,0.166356
71,0.160318,0.154094,0.154978
72,0.159772,0.154391,0.155177
73,0.159642,0.162825,0.164767
74,0.159285,0.187154,0.186878
75,0.157829,0.156418,0.158494
76,0.158065,0.158015,0.158586
77,0.157909,0.151574,0.152230
78,0.157178,0.165304,0.166796
79,0.157610,0.153888,0.154826
80,0.156656,0.148826,0.150005
81,0.156190,0.161484,0.162148
82,0.154974,0.162330,0.164328
83,0.155462,0.150139,0.151044
84,0.155214,0.153784,0.155179
85,0.154378,0.162972,0.165188
86,0.153374,0.150345,0.151204
87,0.153090,0.152226,0.152984
88,0.152952,0.152002,0.152491
89,0.152039,0.154083,0.154488
90,0.152932,0.149290,0.150545
91,0.151133,0.160823,0.162479
92,0.150932,0.150049,0.151313
93,0.150520,0.147591,0.148126
94,0.151817,0.148719,0.149749
95,0.150228,0.156643,0.157886
96,0.150384,0.145208,0.145723
97,0.149920,0.144498,0.145611
98,0.149345,0.147230,0.148062
99,0.149118,0.140777,0.141335
100,0.148072,0.144999,0.146007
