epoch,train,val,test
1,0.039286,0.019826,0.019966
2,0.019430,0.019534,0.019609
3,0.018271,0.017862,0.017881
4,0.017506,0.017703,0.017744
5,0.017043,0.018043,0.018088
6,0.016426,0.015581,0.015679
7,0.015947,0.015239,0.015315
8,0.015491,0.014903,0.015022
9,0.015019,0.015480,0.015506
10,0.014719,0.013871,0.014002
11,0.014375,0.013869,0.014009
12,0.013860,0.013363,0.013518
13,0.013518,0.012712,0.012831
14,0.013347,0.012629,0.012715
15,0.012967,0.012788,0.012959
16,0.012958,0.012312,0.012385
17,0.012595,0.012762,0.012891
18,0.012500,0.012369,0.012520
19,0.012377,0.012289,0.012437
20,0.012307,0.011768,0.011886
21,0.012028,0.012031,0.012247
22,0.011755,0.012132,0.012311
23,0.011630,0.011613,0.011691
24,0.011555,0.011786,0.011961
25,0.011462,0.010811,0.011018
26,0.011247,0.010771,0.010882
27,0.011131,0.010817,0.010960
28,0.010944,0.010516,0.010630
29,0.010832,0.010291,0.010443
30,0.010844,0.010312,0.010431
31,0.010628,0.010316,0.010371
32,0.010695,0.010462,0.010488
33,0.010627,0.010774,0.010823
34,0.010456,0.010506,0.010651
35,0.010845,0.011170,0.011213
36,0.010903,0.010696,0.010830
37,0.010721,0.011183,0.011326
38,0.010427,0.009986,0.010019
39,0.010417,0.010452,0.010449
40,0.010299,0.010594,0.010608
41,0.010192,0.010311,0.010340
42,0.010143,0.010333,0.010403
43,0.010101,0.009941,0.009970
44,0.010055,0.011473,0.011545
45,0.009971,0.010519,0.010545
46,0.010019,0.009758,0.009778
47,0.009901,0.009732,0.009845
48,0.009815,0.009727,0.009832
49,0.009832,0.009655,0.009760
50,0.009799,0.009979,0.010140
51,0.009975,0.010627,0.010705
52,0.009942,0.010039,0.010110
53,0.009935,0.010399,0.010438
54,0.009868,0.010110,0.010159
55,0.009857,0.009486,0.009543
56,0.009891,0.009690,0.009739
57,0.009813,0.009353,0.009425
58,0.009725,0.009958,0.009969
59,0.009776,0.009306,0.009412
60,0.009692,0.010033,0.010125
61,0.009599,0.009196,0.009248
62,0.009642,0.009439,0.009455
63,0.009581,0.009418,0.009473
64,0.009581,0.009418,0.009453
65,0.009668,0.009390,0.009507
66,0.009600,0.009597,0.009667
67,0.009619,0.009378,0.009451
68,0.009511,0.009114,0.009176
69,0.009439,0.010991,0.011007
70,0.009393,0.009817,0.009965
71,0.009373,0.009079,0.009111
72,0.009305,0.008946,0.009000
73,0.009321,0.009021,0.009123
74,0.009307,0.009246,0.009331
75,0.009373,0.009724,0.009768
76,0.009236,0.009256,0.009256
77,0.009208,0.009315,0.009456
78,0.009236,0.009293,0.009380
79,0.009209,0.008911,0.008974
80,0.009146,0.008955,0.009096
81,0.009111,0.008992,0.009032
82,0.009113,0.010588,0.010615
83,0.009120,0.011015,0.011206
84,0.009069,0.009142,0.009183
85,0.009085,0.009458,0.009456
86,0.009103,0.008701,0.008756
87,0.008991,0.009078,0.009116
88,0.009032,0.009335,0.009369
89,0.009375,0.008710,0.008785
90,0.008967,0.009014,0.009185
91,0.008963,0.008841,0.008928
92,0.009026,0.009291,0.009433
93,0.008889,0.009828,0.009835
94,0.008973,0.008642,0.008775
95,0.008918,0.008696,0.008743
96,0.008906,0.009197,0.009310
97,0.008904,0.008667,0.008782
98,0.008885,0.009249,0.009252
99,0.008913,0.008531,0.008632
100,0.008876,0.009320,0.009423
