epoch,train,val,test
1,1.198642,0.886652,0.891289
2,0.825880,0.760654,0.759565
3,0.607271,0.494748,0.489092
4,0.404798,0.335594,0.331304
5,0.301792,0.269259,0.266798
6,0.266146,0.250712,0.249755
7,0.252787,0.282961,0.280994
8,0.245890,0.244339,0.244014
9,0.241617,0.271652,0.270562
10,0.241635,0.236415,0.235745
11,0.237529,0.235220,0.235930
12,0.228970,0.220287,0.220741
13,0.224641,0.260478,0.258249
14,0.221680,0.218712,0.218697
15,0.215289,0.207180,0.206396
16,0.208228,0.198060,0.196295
17,0.202097,0.193736,0.192559
18,0.195254,0.189115,0.188717
19,0.194022,0.194457,0.194773
20,0.189380,0.185416,0.184673
21,0.188015,0.179988,0.180086
22,0.183928,0.181904,0.182090
23,0.183180,0.177084,0.177275
24,0.179342,0.173611,0.173561
25,0.179214,0.198782,0.198297
26,0.176961,0.173650,0.172597
27,0.175059,0.171414,0.169874
28,0.174620,0.168828,0.169406
29,0.172075,0.188695,0.188711
30,0.170606,0.165947,0.165282
31,0.167043,0.162648,0.162565
32,0.166425,0.167829,0.168055
33,0.163412,0.157719,0.157546
34,0.161397,0.157986,0.157935
35,0.160954,0.161652,0.160994
36,0.158832,0.155509,0.154502
37,0.158433,0.187095,0.187575
38,0.156514,0.154072,0.152567
39,0.154530,0.152542,0.151966
40,0.154185,0.153893,0.153979
41,0.151043,0.179084,0.177374
42,0.149406,0.147744,0.147585
43,0.149166,0.151641,0.150167
44,0.149033,0.149805,0.149599
45,0.146692,0.140198,0.138942
46,0.145915,0.144480,0.144310
47,0.144699,0.149080,0.146922
48,0.143438,0.136996,0.135038
49,0.144743,0.137077,0.135885
50,0.141134,0.150091,0.148633
51,0.145122,0.147335,0.144656
52,0.144472,0.148645,0.146776
53,0.142782,0.137422,0.136556
54,0.141963,0.137663,0.137343
55,0.140854,0.145935,0.143070
56,0.140157,0.138851,0.138248
57,0.138364,0.137161,0.136511
58,0.138178,0.138947,0.139461
59,0.136628,0.130228,0.129016
60,0.136296,0.133520,0.133687
61,0.133859,0.133568,0.132339
62,0.133450,0.128048,0.127428
63,0.132584,0.155433,0.153580
64,0.131853,0.128206,0.127025
65,0.130983,0.123765,0.122997
66,0.129375,0.133742,0.132381
67,0.128156,0.132480,0.131497
68,0.128029,0.127960,0.128213
69,0.126954,0.121999,0.122600
70,0.126142,0.120328,0.120843
71,0.125397,0.119578,0.119655
72,0.124116,0.120318,0.120232
73,0.123015,0.115589,0.115985
74,0.122740,0.126726,0.126703
75,0.121386,0.124945,0.125742
76,0.120533,0.115849,0.116113
77,0.119559,0.116412,0.116407
78,0.119600,0.118338,0.119769
79,0.118419,0.115690,0.115434
80,0.118042,0.111844,0.111829
81,0.117498,0.114186,0.113668
82,0.116012,0.120868,0.120474
83,0.115755,0.120349,0.120572
84,0.115314,0.115236,0.115011
85,0.113745,0.110764,0.109791
86,0.113448,0.121749,0.121107
87,0.113415,0.108565,0.108150
88,0.113254,0.110322,0.109954
89,0.111155,0.129008,0.129037
90,0.111122,0.106579,0.105523
91,0.110247,0.111252,0.109575
92,0.109230,0.111772,0.111251
93,0.109139,0.106726,0.106792
94,0.108420,0.107028,0.106454
95,0.107382,0.109169,0.108602
96,0.107521,0.113055,0.113217
97,0.106021,0.103139,0.102874
98,0.105539,0.105838,0.106122
99,0.105348,0.101059,0.100606
100,0.104224,0.104310,0.103792
