epoch,train,val,test
1,0.032048,0.021600,0.021668
2,0.020759,0.019258,0.019362
3,0.018648,0.017207,0.017263
4,0.017311,0.015623,0.015724
5,0.016102,0.015455,0.015560
6,0.015399,0.015892,0.015985
7,0.014817,0.013830,0.013958
8,0.014110,0.015053,0.015136
9,0.013694,0.016018,0.016141
10,0.013337,0.012391,0.012448
11,0.012955,0.013204,0.013175
12,0.012578,0.013105,0.013080
13,0.012295,0.011427,0.011428
14,0.011985,0.011412,0.011381
15,0.011746,0.012089,0.012054
16,0.011421,0.011569,0.011534
17,0.011221,0.011808,0.011754
18,0.010945,0.010554,0.010544
19,0.010620,0.010264,0.010296
20,0.010442,0.011032,0.011038
21,0.010390,0.009970,0.010067
22,0.010258,0.010001,0.010144
23,0.010122,0.009356,0.009426
24,0.010034,0.010056,0.010132
25,0.009910,0.009800,0.009906
26,0.009852,0.009928,0.009946
27,0.009717,0.009483,0.009519
28,0.009628,0.009197,0.009293
29,0.009578,0.009417,0.009453
30,0.009569,0.009657,0.009761
31,0.009457,0.008562,0.008639
32,0.009383,0.009072,0.009129
33,0.009340,0.009647,0.009726
34,0.009309,0.009307,0.009321
35,0.009350,0.008777,0.008861
36,0.009164,0.009190,0.009325
37,0.009163,0.009234,0.009333
38,0.009102,0.008839,0.008887
39,0.009083,0.008662,0.008771
40,0.009099,0.009070,0.009057
41,0.008930,0.008389,0.008439
42,0.009008,0.008830,0.008881
43,0.008959,0.008311,0.008389
44,0.008746,0.008399,0.008418
45,0.008878,0.008266,0.008354
46,0.008973,0.010333,0.010452
47,0.008850,0.009103,0.009210
48,0.008772,0.008982,0.009111
49,0.008824,0.009324,0.009370
50,0.008712,0.008255,0.008325
51,0.008903,0.009112,0.009189
52,0.008925,0.008532,0.008614
53,0.008810,0.008352,0.008355
54,0.008781,0.008310,0.008335
55,0.008741,0.008644,0.008667
56,0.008692,0.012028,0.011903
57,0.008715,0.008191,0.008220
58,0.008621,0.009043,0.009073
59,0.008584,0.008209,0.008193
60,0.008560,0.008689,0.008817
61,0.008524,0.008913,0.008936
62,0.008477,0.008214,0.008214
63,0.008462,0.008599,0.008639
64,0.008463,0.008360,0.008407
65,0.008437,0.008998,0.009018
66,0.008385,0.008500,0.008507
67,0.008377,0.008292,0.008335
68,0.008310,0.008500,0.008532
69,0.008329,0.007974,0.007986
70,0.008290,0.008025,0.008029
71,0.008285,0.007914,0.007925
72,0.008233,0.008123,0.008133
73,0.008319,0.008386,0.008328
74,0.008225,0.009590,0.009658
75,0.008355,0.009021,0.009055
76,0.008705,0.008163,0.008197
77,0.008400,0.008512,0.008614
78,0.008258,0.008501,0.008480
79,0.008193,0.007913,0.007926
80,0.008182,0.007973,0.007927
81,0.008147,0.007962,0.008010
82,0.008113,0.008059,0.008090
83,0.008091,0.009158,0.009125
84,0.008042,0.007739,0.007791
85,0.008023,0.007890,0.007919
86,0.008034,0.007977,0.007985
87,0.008101,0.009040,0.009106
88,0.008014,0.008318,0.008406
89,0.007958,0.007833,0.007836
90,0.007988,0.007695,0.007755
91,0.007969,0.007525,0.007543
92,0.007929,0.007426,0.007478
93,0.007938,0.007453,0.007506
94,0.007902,0.007709,0.007739
95,0.007905,0.008137,0.008235
96,0.007940,0.007713,0.007754
97,0.007882,0.008146,0.008137
98,0.007934,0.007614,0.007686
99,0.007887,0.008586,0.008679
100,0.007823,0.007649,0.007732
