epoch,train,val,test
1,0.638910,0.407820,0.406038
2,0.391426,0.368216,0.366496
3,0.339844,0.323985,0.320655
4,0.316370,0.309417,0.305531
5,0.305220,0.311211,0.308635
6,0.292890,0.284139,0.282252
7,0.279538,0.279531,0.277920
8,0.266571,0.258008,0.257073
9,0.257811,0.259623,0.257051
10,0.251670,0.247102,0.246047
11,0.245953,0.251718,0.251453
12,0.242383,0.237542,0.235548
13,0.238852,0.264221,0.261709
14,0.237180,0.233685,0.232474
15,0.233614,0.230556,0.228843
16,0.231810,0.231486,0.228993
17,0.229332,0.230498,0.228139
18,0.228112,0.225003,0.223322
19,0.228192,0.230895,0.228393
20,0.224532,0.222957,0.221194
21,0.224872,0.221164,0.219351
22,0.223515,0.230108,0.227480
23,0.221654,0.220290,0.218328
24,0.221821,0.218994,0.217124
25,0.220258,0.216578,0.214621
26,0.219174,0.218760,0.216393
27,0.217529,0.215372,0.213109
28,0.216831,0.219350,0.216741
29,0.215999,0.212137,0.209647
30,0.215265,0.211803,0.209519
31,0.213707,0.211106,0.208925
32,0.213472,0.219671,0.216931
33,0.211677,0.214027,0.211749
34,0.210550,0.210578,0.208383
35,0.209479,0.205707,0.203916
36,0.206745,0.206784,0.204798
37,0.206296,0.208229,0.206849
38,0.204413,0.201462,0.199428
39,0.204474,0.204075,0.202225
40,0.200884,0.203237,0.201495
41,0.199939,0.198679,0.196742
42,0.197447,0.196943,0.195507
43,0.196539,0.195363,0.194076
44,0.195220,0.197337,0.195709
45,0.193407,0.189140,0.187889
46,0.191698,0.192663,0.191262
47,0.190677,0.188902,0.188366
48,0.188996,0.188760,0.188132
49,0.188559,0.183823,0.182798
50,0.185080,0.189277,0.188503
51,0.187590,0.200097,0.198689
52,0.186211,0.196132,0.195880
53,0.183961,0.190634,0.189590
54,0.182483,0.177607,0.177105
55,0.181297,0.183417,0.182762
56,0.179334,0.189333,0.188343
57,0.177434,0.171648,0.171817
58,0.176322,0.175460,0.175315
59,0.174698,0.171557,0.171021
60,0.174379,0.174653,0.174574
61,0.172858,0.178985,0.178353
62,0.172456,0.173120,0.172346
63,0.171154,0.169710,0.169605
64,0.169630,0.170066,0.169580
65,0.169395,0.163523,0.164141
66,0.167484,0.177424,0.175740
67,0.165919,0.163696,0.163380
68,0.165174,0.160249,0.159675
69,0.164302,0.166847,0.167707
70,0.163037,0.164215,0.164129
71,0.162395,0.158984,0.158186
72,0.161054,0.161005,0.161084
73,0.159916,0.162667,0.162675
74,0.159690,0.154178,0.153614
75,0.157699,0.157871,0.157886
76,0.157310,0.154694,0.154088
77,0.156888,0.165245,0.165452
78,0.155810,0.153599,0.153875
79,0.155129,0.149903,0.149458
80,0.154360,0.149798,0.149431
81,0.153992,0.149484,0.149142
82,0.153036,0.151300,0.150820
83,0.152008,0.167157,0.167595
84,0.151051,0.148817,0.148680
85,0.150627,0.156681,0.156097
86,0.149871,0.148450,0.148116
87,0.149985,0.146546,0.146010
88,0.149180,0.145694,0.145270
89,0.147550,0.157605,0.155902
90,0.147968,0.149673,0.148701
91,0.146972,0.145493,0.144132
92,0.146528,0.142169,0.141770
93,0.145306,0.155828,0.156682
94,0.145165,0.141021,0.141204
95,0.143932,0.143705,0.142134
96,0.143833,0.140111,0.139631
97,0.142738,0.138776,0.137611
98,0.141975,0.139742,0.140225
99,0.140900,0.134824,0.134761
100,0.140216,0.134219,0.134218
