epoch,train,val,test
1,0.021878,0.019322,0.019441
2,0.017876,0.016604,0.016770
3,0.016340,0.015745,0.015911
4,0.015416,0.014804,0.014944
5,0.014600,0.015915,0.016053
6,0.013889,0.013557,0.013656
7,0.013475,0.012940,0.012999
8,0.012975,0.013697,0.013748
9,0.012648,0.013367,0.013383
10,0.012212,0.012539,0.012540
11,0.011805,0.011754,0.011712
12,0.011569,0.011299,0.011273
13,0.011269,0.010825,0.010804
14,0.011089,0.010870,0.010893
15,0.010947,0.011223,0.011259
16,0.010735,0.010136,0.010175
17,0.010711,0.009913,0.009936
18,0.010652,0.010628,0.010672
19,0.010472,0.011036,0.011089
20,0.010317,0.009993,0.010045
21,0.010291,0.009721,0.009782
22,0.010234,0.009899,0.009970
23,0.010204,0.009669,0.009676
24,0.010171,0.010873,0.010881
25,0.010078,0.009535,0.009634
26,0.010058,0.011404,0.011462
27,0.009932,0.009818,0.009884
28,0.010007,0.014099,0.014109
29,0.010020,0.009410,0.009440
30,0.009855,0.010423,0.010481
31,0.009844,0.009104,0.009185
32,0.009783,0.009389,0.009462
33,0.009772,0.010570,0.010579
34,0.009758,0.009412,0.009522
35,0.009731,0.009309,0.009329
36,0.009530,0.010299,0.010321
37,0.009490,0.009350,0.009367
38,0.009524,0.009638,0.009736
39,0.009443,0.012168,0.012174
40,0.009561,0.009019,0.009044
41,0.009382,0.009078,0.009108
42,0.009403,0.009226,0.009250
43,0.009368,0.008873,0.008909
44,0.009389,0.009259,0.009279
45,0.009240,0.010260,0.010304
46,0.009257,0.009030,0.009092
47,0.009238,0.009234,0.009277
48,0.009233,0.008860,0.008920
49,0.009202,0.009154,0.009243
50,0.009197,0.009575,0.009672
51,0.009298,0.008814,0.008879
52,0.009305,0.008974,0.009023
53,0.009226,0.009334,0.009356
54,0.009204,0.008933,0.008994
55,0.009163,0.009533,0.009564
56,0.009117,0.010174,0.010141
57,0.009092,0.008949,0.008975
58,0.009111,0.009324,0.009332
59,0.009090,0.008993,0.009063
60,0.009051,0.008843,0.008888
61,0.008981,0.009327,0.009309
62,0.008984,0.008660,0.008662
63,0.008985,0.008795,0.008777
64,0.009050,0.008817,0.008872
65,0.008866,0.008902,0.008892
66,0.008900,0.008543,0.008568
67,0.008887,0.008980,0.009041
68,0.008916,0.008402,0.008404
69,0.008819,0.008444,0.008472
70,0.008791,0.008525,0.008531
71,0.008809,0.008678,0.008693
72,0.008794,0.008659,0.008688
73,0.008721,0.008946,0.008934
74,0.008758,0.009287,0.009270
75,0.008727,0.008360,0.008403
76,0.008747,0.008533,0.008511
77,0.008690,0.008245,0.008257
78,0.008639,0.008923,0.008924
79,0.008616,0.008407,0.008411
80,0.008601,0.008948,0.008960
81,0.008614,0.009925,0.009879
82,0.008565,0.008463,0.008472
83,0.008589,0.008539,0.008553
84,0.008519,0.008205,0.008243
85,0.008485,0.008317,0.008313
86,0.008529,0.008652,0.008650
87,0.008460,0.008190,0.008200
88,0.008478,0.008636,0.008626
89,0.008428,0.008413,0.008450
90,0.008429,0.008111,0.008155
91,0.008426,0.008157,0.008168
92,0.008404,0.008701,0.008657
93,0.008362,0.008506,0.008513
94,0.008375,0.008081,0.008060
95,0.008351,0.008427,0.008435
96,0.008360,0.008171,0.008187
97,0.008327,0.008164,0.008142
98,0.008360,0.008480,0.008522
99,0.008360,0.008293,0.008338
100,0.008258,0.008149,0.008153
